연번,구분,세부구분,시설명,시설명영문명,데이터기준일자
129,예술/문화,선비문화,풍영정,Pungyeongjeong Pavilion,2025-09-22
130,예술/문화,선비문화,호가정,Hogajeong Pavilion,2025-09-22
131,역사/전통,전통가옥/근대건축,고원희 가옥,Go Wonhui’s House,2025-09-22
132,역사/전통,전통가옥/근대건축,김봉호 가옥,Kim Bongho’s House,2025-09-22
133,예술/문화,문화유산,고내상성지,Gonaesangseongji (castle site),2025-09-22
134,예술/문화,문화유산,김봉선 유품,Kim Bongseon’s Remaining Articles,2025-09-22
135,예술/문화,문화유산,눌재집 목판각,A Collection of Park Sang(pen name Nuljae)´s Works (block-book),2025-09-22
136,예술/문화,문화유산,분청사기 전라도 (全羅道) 명항아리,Buncheongsagi (grayish-blue-powdered celadon) in Jeolla-do,2025-09-22
137,예술/문화,문화유산,삼거동 고인돌군,Dolmen Cluster at Samgeo-dong,2025-09-22
138,예술/문화,문화유산,석아정ㆍ오방정 현판,Tablet in SeonkajeongㆍObangjeong Pavilion,2025-09-22
139,예술/문화,문화유산,수완동 왕버들,Suwan-dong Willow,2025-09-22
140,예술/문화,문화유산,양과동계 고문서,Ancient Document of Yanggwadonggye,2025-09-22
141,예술/문화,문화유산,용두동 지석묘,Yongdudong Dolmen(Tomb),2025-09-22
142,예술/문화,문화유산,용진산 마애여래좌상,Maeyeoraejwasang(Buddhist Statue) in Mt. Yongjin,2025-09-22
143,예술/문화,문화유산,운림동 석실고분,Ullim-dong Ancient Stone Tomb ,2025-09-22
144,예술/문화,문화유산,유촌동 석조여래좌상,Yuchon-dong Seokjojoyeoraejwasang (Stone Buddhist Statue),2025-09-22
145,역사/전통,전통가옥/근대건축,김용학 가옥,Kim Yonghak’s House,2025-09-22
146,역사/전통,전통가옥/근대건축,이장우 가옥,Lee Jangwoo’s House,2025-09-22
147,예술/문화,문화유산,강진김해김씨가 상여,Kimhae Kim Clan Bier in Gangjin,2025-09-22
148,예술/문화,문화유산,괘고정수,Gwaegojeongsu (old willow tree),2025-09-22
149,예술/문화,문화유산,명화동 장고분,Myeonghwa-dong Ancient Tombs,2025-09-22
150,예술/문화,문화유산,범세동 선생묘,Beom Saedong’s Cemetary,2025-09-22
